id,file_path,subject,user,activity,num_sub,c_freq,environment,device,session,is_multi_subject,label,distance
Human_U01_jumping_E01_AmazonPlug_56_1000,./sub_Human/user_U01/act_jumping/env_E01/device_AmazonPlug/session_1000__freq56_2G.h5,Human,U01,jumping,56,2G,E01,AmazonPlug,1000,False,jumping,1.5
Human_U01_jumping_E01_AmazonPlug_56_1001,./sub_Human/user_U01/act_jumping/env_E01/device_AmazonPlug/session_1001__freq56_2G.h5,Human,U01,jumping,56,2G,E01,AmazonPlug,1001,False,jumping,1.5
Human_U01_jumping_E01_AmazonPlug_56_1002,./sub_Human/user_U01/act_jumping/env_E01/device_AmazonPlug/session_1002__freq56_2G.h5,Human,U01,jumping,56,2G,E01,AmazonPlug,1002,False,jumping,1.5
Human_U01_jumping_E01_AmazonPlug_56_1003,./sub_Human/user_U01/act_jumping/env_E01/device_AmazonPlug/session_1003__freq56_2G.h5,Human,U01,jumping,56,2G,E01,AmazonPlug,1003,False,jumping,1.5
Human_U01_jumping_E01_AmazonPlug_56_1004,./sub_Human/user_U01/act_jumping/env_E01/device_AmazonPlug/session_1004__freq56_2G.h5,Human,U01,jumping,56,2G,E01,AmazonPlug,1004,False,jumping,1.5
Human_U01_jumping_E01_AmazonPlug_56_1005,./sub_Human/user_U01/act_jumping/env_E01/device_AmazonPlug/session_1005__freq56_2G.h5,Human,U01,jumping,56,2G,E01,AmazonPlug,1005,False,jumping,1.5
Human_U01_jumping_E01_AmazonPlug_56_1006,./sub_Human/user_U01/act_jumping/env_E01/device_AmazonPlug/session_1006__freq56_2G.h5,Human,U01,jumping,56,2G,E01,AmazonPlug,1006,False,jumping,1.5
Human_U01_jumping_E01_AmazonPlug_56_1007,./sub_Human/user_U01/act_jumping/env_E01/device_AmazonPlug/session_1007__freq56_2G.h5,Human,U01,jumping,56,2G,E01,AmazonPlug,1007,False,jumping,1.5
Human_U01_jumping_E01_AmazonPlug_56_1008,./sub_Human/user_U01/act_jumping/env_E01/device_AmazonPlug/session_1008__freq56_2G.h5,Human,U01,jumping,56,2G,E01,AmazonPlug,1008,False,jumping,1.5
Human_U01_jumping_E01_AmazonPlug_56_1009,./sub_Human/user_U01/act_jumping/env_E01/device_AmazonPlug/session_1009__freq56_2G.h5,Human,U01,jumping,56,2G,E01,AmazonPlug,1009,False,jumping,1.5
Human_U01_jumping_E01_AmazonPlug_56_1010,./sub_Human/user_U01/act_jumping/env_E01/device_AmazonPlug/session_1010__freq56_2G.h5,Human,U01,jumping,56,2G,E01,AmazonPlug,1010,False,jumping,1.5
Human_U01_jumping_E01_AmazonPlug_56_1011,./sub_Human/user_U01/act_jumping/env_E01/device_AmazonPlug/session_1011__freq56_2G.h5,Human,U01,jumping,56,2G,E01,AmazonPlug,1011,False,jumping,1.5
Human_U01_jumping_E01_AmazonPlug_56_1012,./sub_Human/user_U01/act_jumping/env_E01/device_AmazonPlug/session_1012__freq56_2G.h5,Human,U01,jumping,56,2G,E01,AmazonPlug,1012,False,jumping,1.5
Human_U01_jumping_E01_AmazonPlug_56_1013,./sub_Human/user_U01/act_jumping/env_E01/device_AmazonPlug/session_1013__freq56_2G.h5,Human,U01,jumping,56,2G,E01,AmazonPlug,1013,False,jumping,1.5
Human_U01_jumping_E01_AmazonPlug_56_2000,./sub_Human/user_U01/act_jumping/env_E01/device_AmazonPlug/session_2000__freq56_2G.h5,Human,U01,jumping,56,2G,E01,AmazonPlug,2000,False,jumping,1.5
Human_U01_jumping_E01_AmazonPlug_56_2001,./sub_Human/user_U01/act_jumping/env_E01/device_AmazonPlug/session_2001__freq56_2G.h5,Human,U01,jumping,56,2G,E01,AmazonPlug,2001,False,jumping,1.5
Human_U01_jumping_E01_AmazonPlug_56_2002,./sub_Human/user_U01/act_jumping/env_E01/device_AmazonPlug/session_2002__freq56_2G.h5,Human,U01,jumping,56,2G,E01,AmazonPlug,2002,False,jumping,1.5
Human_U01_jumping_E01_AmazonPlug_56_2003,./sub_Human/user_U01/act_jumping/env_E01/device_AmazonPlug/session_2003__freq56_2G.h5,Human,U01,jumping,56,2G,E01,AmazonPlug,2003,False,jumping,1.5
Human_U01_jumping_E01_AmazonPlug_56_2004,./sub_Human/user_U01/act_jumping/env_E01/device_AmazonPlug/session_2004__freq56_2G.h5,Human,U01,jumping,56,2G,E01,AmazonPlug,2004,False,jumping,1.5
Human_U01_jumping_E01_AmazonPlug_56_2005,./sub_Human/user_U01/act_jumping/env_E01/device_AmazonPlug/session_2005__freq56_2G.h5,Human,U01,jumping,56,2G,E01,AmazonPlug,2005,False,jumping,1.5
Human_U01_jumping_E01_AmazonPlug_56_2006,./sub_Human/user_U01/act_jumping/env_E01/device_AmazonPlug/session_2006__freq56_2G.h5,Human,U01,jumping,56,2G,E01,AmazonPlug,2006,False,jumping,1.5
Human_U01_jumping_E01_AmazonPlug_56_2007,./sub_Human/user_U01/act_jumping/env_E01/device_AmazonPlug/session_2007__freq56_2G.h5,Human,U01,jumping,56,2G,E01,AmazonPlug,2007,False,jumping,1.5
Human_U01_jumping_E01_AmazonPlug_56_2008,./sub_Human/user_U01/act_jumping/env_E01/device_AmazonPlug/session_2008__freq56_2G.h5,Human,U01,jumping,56,2G,E01,AmazonPlug,2008,False,jumping,1.5
Human_U01_jumping_E01_AmazonPlug_56_2009,./sub_Human/user_U01/act_jumping/env_E01/device_AmazonPlug/session_2009__freq56_2G.h5,Human,U01,jumping,56,2G,E01,AmazonPlug,2009,False,jumping,1.5
Human_U01_jumping_E01_AmazonPlug_56_2010,./sub_Human/user_U01/act_jumping/env_E01/device_AmazonPlug/session_2010__freq56_2G.h5,Human,U01,jumping,56,2G,E01,AmazonPlug,2010,False,jumping,1.5
Human_U01_jumping_E01_AmazonPlug_56_2011,./sub_Human/user_U01/act_jumping/env_E01/device_AmazonPlug/session_2011__freq56_2G.h5,Human,U01,jumping,56,2G,E01,AmazonPlug,2011,False,jumping,1.5
Human_U01_jumping_E01_AmazonPlug_56_2012,./sub_Human/user_U01/act_jumping/env_E01/device_AmazonPlug/session_2012__freq56_2G.h5,Human,U01,jumping,56,2G,E01,AmazonPlug,2012,False,jumping,1.5
Human_U01_jumping_E01_AmazonPlug_56_3000,./sub_Human/user_U01/act_jumping/env_E01/device_AmazonPlug/session_3000__freq56_2G.h5,Human,U01,jumping,56,2G,E01,AmazonPlug,3000,False,jumping,1.5
Human_U01_jumping_E01_AmazonPlug_56_3001,./sub_Human/user_U01/act_jumping/env_E01/device_AmazonPlug/session_3001__freq56_2G.h5,Human,U01,jumping,56,2G,E01,AmazonPlug,3001,False,jumping,1.5
Human_U01_jumping_E01_AmazonPlug_56_3002,./sub_Human/user_U01/act_jumping/env_E01/device_AmazonPlug/session_3002__freq56_2G.h5,Human,U01,jumping,56,2G,E01,AmazonPlug,3002,False,jumping,1.5
Human_U01_jumping_E01_AmazonPlug_56_3003,./sub_Human/user_U01/act_jumping/env_E01/device_AmazonPlug/session_3003__freq56_2G.h5,Human,U01,jumping,56,2G,E01,AmazonPlug,3003,False,jumping,1.5
Human_U01_jumping_E01_AmazonPlug_56_3004,./sub_Human/user_U01/act_jumping/env_E01/device_AmazonPlug/session_3004__freq56_2G.h5,Human,U01,jumping,56,2G,E01,AmazonPlug,3004,False,jumping,1.5
Human_U01_jumping_E01_AmazonPlug_56_3005,./sub_Human/user_U01/act_jumping/env_E01/device_AmazonPlug/session_3005__freq56_2G.h5,Human,U01,jumping,56,2G,E01,AmazonPlug,3005,False,jumping,1.5
